series_id,series_name,units,date,raw_value,is_missing,normalized_value
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-01-01,99.1403,false,100
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-02-01,98.9061,false,99.76376912315173546983416431
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-03-01,98.7163,false,99.57232326309280887792350840
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-04-01,100.3701,false,101.2404642713407161366265787
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-05-01,99.8865,false,100.7526707100946839983336746
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-06-01,99.889,false,100.7551923889679575308930879
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-07-01,99.0533,false,99.91224557521008106693241800
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-08-01,99.4839,false,100.3465795443427143149657606
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-09-01,100.6216,false,101.4941451659920335121035543
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-10-01,101.2205,false,102.0982385568734409720365986
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-11-01,101.3754,false,102.2544817798614690494178452
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2017-12-01,101.3369,false,102.2156479252130566480028808
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-01-01,101.4459,false,102.3255931240877826675932996
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-02-01,102.567,false,103.4564147980185656085365891
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-03-01,102.9063,false,103.7986570546992494475001589
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-04-01,103.7057,false,104.6049890912171942186981480
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-05-01,102.5113,false,103.4002317927220313031128613
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-06-01,103.7318,false,104.6313154186541698986184226
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-07-01,102.9217,false,103.8141905965586144080661446
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-08-01,103.7415,false,104.6410995326824712049489461
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-09-01,103.7964,false,104.6964756007395579799536616
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-10-01,103.6114,false,104.5098713641173165705570792
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-11-01,103.0399,false,103.9334155736869870274752043
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2018-12-01,103.5443,false,104.4421895031586549566624269
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2019-01-01,101.8218,false,102.7047527594731910232266798
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2019-02-01,101.2835,false,102.1617848644799339925338132
IPDMAN,Industrial Production: Durable Manufacturing (NAICS),"Index 2017=100, Seasonally Adjusted",2019-03-01,100.9792,false,101.8548461120250796094020292
